dejanz;41.0347510000;-73.5473210000;5.000;3.000
jelena;41.0349210000;-73.5476790000;5.000;3.000
dejanz;41.0351460000;-73.5477630000;5.000;3.000
jelena;41.0357180000;-73.5480890000;5.000;3.000
dejanz;41.0357760000;-73.5490340000;5.000;3.000
jelena;41.0358360000;-73.5498040000;5.000;4.000
dejanz;41.0359100000;-73.5506100000;5.000;3.000
jelena;41.0359960000;-73.5514490000;5.000;3.000
dejanz;41.0372100000;-73.5513340000;5.000;3.000
jelena;41.0385270000;-73.5512020000;5.000;4.000
dejanz;41.0393200000;-73.5511250000;5.000;4.000
jelena;41.0395100000;-73.5511070000;5.000;3.000
dejanz;41.0395100000;-73.5511070000;5.000;3.000
jelena;41.0395100000;-73.5511070000;5.000;2.000
dejanz;41.0395130000;-73.5511070000;5.000;3.000
jelena;41.0404040000;-73.5510130000;5.000;6.000
dejanz;41.0407250000;-73.5521570000;5.000;4.000
jelena;41.0409510000;-73.5542170000;5.000;3.000
dejanz;41.0411910000;-73.5562800000;5.000;3.000
jelena;41.0412490000;-73.5579340000;5.000;4.000
dejanz;41.0413650000;-73.5587560000;5.000;3.000
jelena;41.0426370000;-73.5587000000;5.000;4.000
dejanz;41.0438090000;-73.5585170000;5.000;3.000
jelena;41.0438100000;-73.5585170000;5.000;3.000
dejanz;41.0438100000;-73.5585170000;5.000;3.000
jelena;41.0438100000;-73.5585170000;5.000;2.000
dejanz;41.0439450000;-73.5584980000;5.000;3.000
dejanz;41.0449720000;-73.5584810000;5.000;2.000
